,id,sigungu,jibun,apt_name,exclusive_use_area,transaction_year_month,transaction_day,transaction_real_price,floor,year_of_completion,train_test,transaction_date,소비심리지수,아파트 매매 실거래 가격 지수,기준금리,GDP 성장률,apartment_id,recent_price,recent_jeonse,transaction_cnt,age,cluster
0,TRAIN_0320,서울특별시 강남구 대치동,670,동부센트레빌,145.83,201401,02,180000.0,16,2005,train,2014-01-02,112.6,66.6,2.5,0.9,20,180000.0,99000.00000000001,25.0,9,3.0
1,TRAIN_0699,서울특별시 강남구 대치동,986-14,하이캐슬,84.06,201401,02,68000.0,5,2008,train,2014-01-02,112.6,66.6,2.5,0.9,58,68000.0,37400.0,1.0,6,1.0
2,TRAIN_0705,서울특별시 강남구 대치동,511,한보미도맨션1,161.36,201401,04,155000.0,5,1983,train,2014-01-04,112.6,66.6,2.5,0.9,60,155000.0,85250.0,24.0,31,3.0
3,TRAIN_0660,서울특별시 강남구 대치동,891-6,테헤란로대우아이빌(891-6),33.11,201401,04,27000.0,20,2004,train,2014-01-04,112.6,66.6,2.5,0.9,49,27000.0,14850.000000000002,6.0,10,0.0
4,TRAIN_0102,서울특별시 강남구 대치동,891-28,대치동우정에쉐르1,59.98,201401,04,37400.0,6,2004,train,2014-01-04,112.6,66.6,2.5,0.9,6,37400.0,20570.0,4.0,10,0.0
5,TRAIN_0110,서울특별시 강남구 대치동,1014-3,대치삼성,97.35,201401,04,100000.0,12,2000,train,2014-01-04,112.6,66.6,2.5,0.9,9,100000.0,55000.00000000001,19.0,14,1.0
6,TRAIN_0311,서울특별시 강남구 대치동,988-4,대치효성,84.91,201401,04,72600.0,8,1999,train,2014-01-04,112.6,66.6,2.5,0.9,17,68000.0,37400.0,4.0,15,1.0
7,TRAIN_0529,서울특별시 강남구 대치동,316,은마,84.43,201401,05,89000.0,2,1979,train,2014-01-05,112.6,66.6,2.5,0.9,46,72600.0,40000.0,60.0,35,2.0
8,TRAIN_0744,서울특별시 강남구 대치동,511,한보미도맨션2,190.47,201401,06,190000.0,1,1985,train,2014-01-06,112.6,66.6,2.5,0.9,61,190000.0,104500.00000000001,13.0,29,3.0
9,TRAIN_0321,서울특별시 강남구 대치동,670,동부센트레빌,161.47,201401,06,230000.0,6,2005,train,2014-01-06,112.6,66.6,2.5,0.9,20,155000.0,85250.0,25.0,9,3.0
10,TRAIN_0743,서울특별시 강남구 대치동,511,한보미도맨션2,84.96,201401,06,89900.0,14,1985,train,2014-01-06,112.6,66.6,2.5,0.9,61,89000.0,58000.0,13.0,29,3.0
11,TRAIN_0742,서울특별시 강남구 대치동,511,한보미도맨션2,115.05,201401,06,125000.0,5,1985,train,2014-01-06,112.6,66.6,2.5,0.9,61,125000.0,70000.0,13.0,29,3.0
12,TRAIN_0429,서울특별시 강남구 대치동,506,선경1차(1동-7동),117.7,201401,06,132000.0,4,1983,train,2014-01-06,112.6,66.6,2.5,0.9,32,132000.0,72600.0,14.0,31,3.0
13,TRAIN_0000,서울특별시 강남구 대치동,503,개포우성1,158.54,201401,07,174000.0,13,1983,train,2014-01-07,112.6,66.6,2.5,0.9,0,230000.0,126500.00000000001,18.0,31,3.0
14,TRAIN_0175,서울특별시 강남구 대치동,888,대치아이파크,59.96,201401,07,80000.0,6,2008,train,2014-01-07,112.6,66.6,2.5,0.9,10,37400.0,20570.0,24.0,6,2.0
