id,sigungu,jibun,apt_name,exclusive_use_area,transaction_year_month,transaction_day,transaction_real_price,floor,year_of_completion,train_test,transaction_date,소비심리지수,아파트 매매 실거래 가격 지수,기준금리,GDP 성장률,apartment_id,recent_price,recent_jeonse,transaction_cnt,age,year,cluster_0.0,cluster_1.0,cluster_2.0,cluster_3.0,cluster_4.0,use_area,transaction_year
TRAIN_0320,서울특별시 강남구 대치동,670,동부센트레빌,145.83,201401,2,180000.0,2.833213344056216,2005,train,2014-01-02,112.6,66.6,1.252762968495368,0.9,20,180000.0,11.502885230075814,3.258096538021482,9,2014,0,0,0,1,0,145.83,2014
TRAIN_0699,서울특별시 강남구 대치동,986-14,하이캐슬,84.06,201401,2,68000.0,1.791759469228055,2008,train,2014-01-02,112.6,66.6,1.252762968495368,0.9,58,68000.0,10.529452721013085,0.6931471805599453,6,2014,0,1,0,0,0,84.06,2014
TRAIN_0705,서울특별시 강남구 대치동,511,한보미도맨션1,161.36,201401,4,155000.0,1.791759469228055,1983,train,2014-01-04,112.6,66.6,1.252762968495368,0.9,60,155000.0,11.353355125282244,3.2188758248682006,31,2014,0,0,0,1,0,161.36,2014
TRAIN_0660,서울특별시 강남구 대치동,891-6,테헤란로대우아이빌(891-6),33.11,201401,4,27000.0,3.044522437723423,2004,train,2014-01-04,112.6,66.6,1.252762968495368,0.9,49,27000.0,9.605822482030945,1.9459101490553132,10,2014,1,0,0,0,0,33.11,2014
TRAIN_0102,서울특별시 강남구 대치동,891-28,대치동우정에쉐르1,59.98,201401,4,37400.0,1.9459101490553132,2004,train,2014-01-04,112.6,66.6,1.252762968495368,0.9,6,37400.0,9.931637595952473,1.6094379124341003,10,2014,1,0,0,0,0,59.98,2014
TRAIN_0110,서울특별시 강남구 대치동,1014-3,대치삼성,97.35,201401,4,100000.0,2.5649493574615367,2000,train,2014-01-04,112.6,66.6,1.252762968495368,0.9,9,100000.0,10.915106645867503,2.995732273553991,14,2014,0,1,0,0,0,97.35,2014
TRAIN_0311,서울특별시 강남구 대치동,988-4,대치효성,84.91,201401,4,72600.0,2.1972245773362196,1999,train,2014-01-04,112.6,66.6,1.252762968495368,0.9,17,68000.0,10.529452721013085,1.6094379124341003,15,2014,0,1,0,0,0,84.91,2014
TRAIN_0529,서울특별시 강남구 대치동,316,은마,84.43,201401,5,89000.0,1.0986122886681098,1979,train,2014-01-05,112.6,66.6,1.252762968495368,0.9,46,72600.0,10.596659732783579,4.110873864173311,35,2014,0,0,1,0,0,84.43,2014
TRAIN_0744,서울특별시 강남구 대치동,511,한보미도맨션2,190.47,201401,6,190000.0,0.6931471805599453,1985,train,2014-01-06,112.6,66.6,1.252762968495368,0.9,61,190000.0,11.556951919719207,2.6390573296152584,29,2014,0,0,0,1,0,190.47,2014
TRAIN_0321,서울특별시 강남구 대치동,670,동부센트레빌,161.47,201401,6,230000.0,1.9459101490553132,2005,train,2014-01-06,112.6,66.6,1.252762968495368,0.9,20,155000.0,11.353355125282244,3.258096538021482,9,2014,0,0,0,1,0,161.47,2014
TRAIN_0743,서울특별시 강남구 대치동,511,한보미도맨션2,84.96,201401,6,89900.0,2.70805020110221,1985,train,2014-01-06,112.6,66.6,1.252762968495368,0.9,61,89000.0,10.968215530759236,2.6390573296152584,29,2014,0,0,0,1,0,84.96,2014
TRAIN_0742,서울특별시 강남구 대치동,511,한보미도맨션2,115.05,201401,6,125000.0,1.791759469228055,1985,train,2014-01-06,112.6,66.6,1.252762968495368,0.9,61,125000.0,11.156264806643742,2.6390573296152584,29,2014,0,0,0,1,0,115.05,2014
TRAIN_0429,서울특별시 강남구 대치동,506,선경1차(1동-7동),117.7,201401,6,132000.0,1.6094379124341003,1983,train,2014-01-06,112.6,66.6,1.252762968495368,0.9,32,132000.0,11.192733974822708,2.70805020110221,31,2014,0,0,0,1,0,117.7,2014
TRAIN_0000,서울특별시 강남구 대치동,503,개포우성1,158.54,201401,7,174000.0,2.6390573296152584,1983,train,2014-01-07,112.6,66.6,1.252762968495368,0.9,0,230000.0,11.748005492256807,2.9444389791664403,31,2014,0,0,0,1,0,158.54,2014
TRAIN_0175,서울특별시 강남구 대치동,888,대치아이파크,59.96,201401,7,80000.0,1.9459101490553132,2008,train,2014-01-07,112.6,66.6,1.252762968495368,0.9,10,37400.0,9.931637595952473,3.2188758248682006,6,2014,0,0,1,0,0,59.96,2014
TRAIN_0430,서울특별시 강남구 대치동,506,선경1차(1동-7동),84.35,201401,7,105000.0,1.9459101490553132,1983,train,2014-01-07,112.6,66.6,1.252762968495368,0.9,32,89900.0,10.808636443991439,2.70805020110221,31,2014,0,0,0,1,0,84.35,2014
TRAIN_0111,서울특별시 강남구 대치동,1014-3,대치삼성,97.35,201401,7,98000.0,2.302585092994046,2000,train,2014-01-07,112.6,66.6,1.252762968495368,0.9,9,100000.0,10.915106645867503,2.995732273553991,14,2014,0,1,0,0,0,97.35,2014
TRAIN_0431,서울특별시 강남구 대치동,506,선경1차(1동-7동),84.35,201401,8,114000.0,1.791759469228055,1983,train,2014-01-08,112.6,66.6,1.252762968495368,0.9,32,105000.0,10.963895944251435,2.70805020110221,31,2014,0,0,0,1,0,84.35,2014
TRAIN_0176,서울특별시 강남구 대치동,888,대치아이파크,59.96,201401,8,81000.0,2.5649493574615367,2008,train,2014-01-08,112.6,66.6,1.252762968495368,0.9,10,80000.0,10.691967639914864,3.2188758248682006,6,2014,0,0,1,0,0,59.96,2014
TRAIN_0422,서울특별시 강남구 대치동,938-16,삼환SOGOOD,84.93,201401,8,68500.0,1.9459101490553132,2006,train,2014-01-08,112.6,66.6,1.252762968495368,0.9,30,105000.0,10.963895944251435,1.0986122886681098,8,2014,0,1,0,0,0,84.93,2014
TRAIN_0530,서울특별시 강남구 대치동,316,은마,76.79,201401,8,77500.0,2.1972245773362196,1979,train,2014-01-08,112.6,66.6,1.252762968495368,0.9,46,77500.0,10.463131911491967,4.110873864173311,35,2014,0,0,1,0,0,76.79,2014
TRAIN_0531,서울특별시 강남구 대치동,316,은마,84.43,201401,9,90000.0,1.791759469228055,1979,train,2014-01-09,112.6,66.6,1.252762968495368,0.9,46,89000.0,10.518700218288165,4.110873864173311,35,2014,0,0,1,0,0,84.43,2014
TRAIN_0112,서울특별시 강남구 대치동,1014-3,대치삼성,109.04,201401,9,95000.0,0.6931471805599453,2000,train,2014-01-09,112.6,66.6,1.252762968495368,0.9,9,95000.0,11.385103457032141,2.995732273553991,14,2014,0,1,0,0,0,109.04,2014
TRAIN_0532,서울특별시 강남구 대치동,316,은마,76.79,201401,9,74800.0,0.6931471805599453,1979,train,2014-01-09,112.6,66.6,1.252762968495368,0.9,46,77500.0,10.609081944147828,4.110873864173311,35,2014,0,0,1,0,0,76.79,2014
TRAIN_0044,서울특별시 강남구 대치동,500,개포우성2,159.6,201401,9,188500.0,1.791759469228055,1984,train,2014-01-09,112.6,66.6,1.252762968495368,0.9,1,174000.0,11.468984026707245,1.9459101490553132,30,2014,0,0,0,1,0,159.6,2014
TRAIN_0001,서울특별시 강남구 대치동,503,개포우성1,127.61,201401,9,157500.0,1.9459101490553132,1983,train,2014-01-09,112.6,66.6,1.252762968495368,0.9,0,157500.0,11.373674891823535,2.9444389791664403,31,2014,0,0,0,1,0,127.61,2014
TRAIN_0264,서울특별시 강남구 대치동,974,대치현대,59.82,201401,9,50000.0,3.1354942159291497,1999,train,2014-01-09,112.6,66.6,1.252762968495368,0.9,16,81000.0,10.704389879336146,2.995732273553991,15,2014,0,1,0,0,0,59.82,2014
TRAIN_0533,서울특별시 강남구 대치동,316,은마,76.79,201401,10,77300.0,1.0986122886681098,1979,train,2014-01-10,112.6,66.6,1.252762968495368,0.9,46,74800.0,10.373522431293592,4.110873864173311,35,2014,0,0,1,0,0,76.79,2014
TRAIN_0534,서울특별시 강남구 대치동,316,은마,76.79,201401,10,80000.0,1.9459101490553132,1979,train,2014-01-10,112.6,66.6,1.252762968495368,0.9,46,74800.0,10.373522431293592,4.110873864173311,35,2014,0,0,1,0,0,76.79,2014
TRAIN_0045,서울특별시 강남구 대치동,500,개포우성2,127.78,201401,10,178000.0,2.1972245773362196,1984,train,2014-01-10,112.6,66.6,1.252762968495368,0.9,1,157500.0,11.369355280437118,1.9459101490553132,30,2014,0,0,0,1,0,127.78,2014
TRAIN_0177,서울특별시 강남구 대치동,888,대치아이파크,114.97,201401,10,147700.0,3.1780538303479458,2008,train,2014-01-10,112.6,66.6,1.252762968495368,0.9,10,132000.0,11.192733974822708,3.2188758248682006,6,2014,0,0,1,0,0,114.97,2014
TRAIN_0535,서울특별시 강남구 대치동,316,은마,76.79,201401,11,79500.0,2.70805020110221,1979,train,2014-01-11,112.6,66.6,1.252762968495368,0.9,46,80000.0,10.373522431293592,4.110873864173311,35,2014,0,0,1,0,0,76.79,2014
TRAIN_0536,서울특별시 강남구 대치동,316,은마,84.43,201401,11,94500.0,1.791759469228055,1979,train,2014-01-11,112.6,66.6,1.252762968495368,0.9,46,90000.0,10.645448706505872,4.110873864173311,35,2014,0,0,1,0,0,84.43,2014
TRAIN_0178,서울특별시 강남구 대치동,888,대치아이파크,114.97,201401,11,143500.0,2.8903717578961645,2008,train,2014-01-11,112.6,66.6,1.252762968495368,0.9,10,147700.0,11.305113777653,3.2188758248682006,6,2014,0,0,1,0,0,114.97,2014
TRAIN_0661,서울특별시 강남구 대치동,891-6,테헤란로대우아이빌(891-6),35.51,201401,11,29300.0,2.995732273553991,2004,train,2014-01-11,112.6,66.6,1.252762968495368,0.9,49,27000.0,9.605822482030945,1.9459101490553132,10,2014,1,0,0,0,0,35.51,2014
TRAIN_0113,서울특별시 강남구 대치동,1014-3,대치삼성,97.35,201401,11,102500.0,2.70805020110221,2000,train,2014-01-11,112.6,66.6,1.252762968495368,0.9,9,98000.0,10.894904309600681,2.995732273553991,14,2014,0,1,0,0,0,97.35,2014
TRAIN_0266,서울특별시 강남구 대치동,974,대치현대,59.82,201401,11,59000.0,1.791759469228055,1999,train,2014-01-11,112.6,66.6,1.252762968495368,0.9,16,50000.0,10.221977646629885,2.995732273553991,15,2014,0,1,0,0,0,59.82,2014
TRAIN_0707,서울특별시 강남구 대치동,511,한보미도맨션1,161.36,201401,11,165000.0,2.4849066497880004,1983,train,2014-01-11,112.6,66.6,1.252762968495368,0.9,60,155000.0,11.353355125282244,3.2188758248682006,31,2014,0,0,0,1,0,161.36,2014
TRAIN_0745,서울특별시 강남구 대치동,511,한보미도맨션2,84.96,201401,11,92000.0,1.3862943611198906,1985,train,2014-01-11,112.6,66.6,1.252762968495368,0.9,61,89900.0,10.968215530759236,2.6390573296152584,29,2014,0,0,0,1,0,84.96,2014
TRAIN_0706,서울특별시 강남구 대치동,511,한보미도맨션1,191.07,201401,11,205000.0,2.1972245773362196,1983,train,2014-01-11,112.6,66.6,1.252762968495368,0.9,60,190000.0,11.556951919719207,3.2188758248682006,31,2014,0,0,0,1,0,191.07,2014
TRAIN_0265,서울특별시 강남구 대치동,974,대치현대,59.82,201401,11,55000.0,3.091042453358316,1999,train,2014-01-11,112.6,66.6,1.252762968495368,0.9,16,50000.0,10.221977646629885,2.995732273553991,15,2014,0,1,0,0,0,59.82,2014
TRAIN_0179,서울특별시 강남구 대치동,888,대치아이파크,114.97,201401,12,147000.0,2.833213344056216,2008,train,2014-01-12,112.6,66.6,1.252762968495368,0.9,10,143500.0,11.276265983602498,3.2188758248682006,6,2014,0,0,1,0,0,114.97,2014
TRAIN_0537,서울특별시 강남구 대치동,316,은마,76.79,201401,12,82000.0,2.1972245773362196,1979,train,2014-01-12,112.6,66.6,1.252762968495368,0.9,46,79500.0,10.404293143019792,4.110873864173311,35,2014,0,0,1,0,0,76.79,2014
TRAIN_0538,서울특별시 강남구 대치동,316,은마,76.79,201401,13,83000.0,2.4849066497880004,1979,train,2014-01-13,112.6,66.6,1.252762968495368,0.9,46,82000.0,10.404293143019792,4.110873864173311,35,2014,0,0,1,0,0,76.79,2014
TRAIN_0432,서울특별시 강남구 대치동,506,선경1차(1동-7동),117.7,201401,13,132500.0,2.0794415416798357,1983,train,2014-01-13,112.6,66.6,1.252762968495368,0.9,32,132000.0,11.192733974822708,2.70805020110221,31,2014,0,0,0,1,0,117.7,2014
TRAIN_0539,서울특별시 강남구 대치동,316,은마,76.79,201401,13,80000.0,1.791759469228055,1979,train,2014-01-13,112.6,66.6,1.252762968495368,0.9,46,82000.0,10.404293143019792,4.110873864173311,35,2014,0,0,1,0,0,76.79,2014
TRAIN_0046,서울특별시 강남구 대치동,500,개포우성2,84.69,201401,14,114000.0,2.772588722239781,1984,train,2014-01-14,112.6,66.6,1.252762968495368,0.9,1,92000.0,11.097425172408931,1.9459101490553132,30,2014,0,0,0,1,0,84.69,2014
